Exp,Policy,lr,gamma,batch_size,expl_fraction,expl_initial_eps,expl_final_eps,Mean Reward,Std Reward
more_train,CnnPolicy,0.0001,0.99,32,0.3,1.0,0.02,1471.0,335.3
very_low_explore,CnnPolicy,0.0001,0.99,32,0.05,1.0,0.005,1364.0,366.34
architecture_control,CnnPolicy,0.0001,0.99,32,0.3,1.0,0.02,1208.0,424.54
buffer_less,CnnPolicy,0.0001,0.99,32,0.3,1.0,0.02,1071.0,465.89
gradient_clipping,CnnPolicy,0.0001,0.99,32,0.3,1.0,0.02,913.0,409.78
baseline,CnnPolicy,0.0001,0.99,32,0.3,1.0,0.02,855.0,274.05
gamma_mid,CnnPolicy,0.0001,0.97,32,0.3,1.0,0.02,846.0,507.15
batch_small,CnnPolicy,0.0001,0.99,16,0.3,1.0,0.02,843.0,293.43
gamma_low,CnnPolicy,0.0001,0.89,32,0.3,1.0,0.02,774.0,281.72
less_train,CnnPolicy,0.0001,0.99,32,0.3,1.0,0.02,552.0,105.43
